,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
170,21643423,1618142868,abc198_b,abc198,bayashi_cl,Python (3.8.2),200.0,757,AC,35.0
171,21650366,1618143326,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,601,WA,119.0
172,21658221,1618143926,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,606,WA,115.0
173,21661666,1618144238,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,622,WA,38.0
174,21666663,1618144754,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,611,WA,37.0
175,21686704,1618147726,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,679,WA,39.0
176,21690709,1618148345,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,616,WA,38.0
177,21691573,1618148428,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,619,WA,37.0
178,21693074,1618148942,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,654,WA,39.0
179,21693299,1618149029,abc198_c,abc198,bayashi_cl,Python (3.8.2),0.0,670,WA,37.0
180,21693723,1618149190,abc198_c,abc198,bayashi_cl,Python (3.8.2),300.0,556,AC,40.0
181,21693839,1618149241,abc198_c,abc198,bayashi_cl,Python (3.8.2),300.0,517,AC,38.0
182,21694730,1618149675,abc198_c,abc198,bayashi_cl,Python (3.8.2),300.0,547,AC,121.0
183,21806094,1618643681,jsc2021_a,jsc2021,bayashi_cl,Python (3.8.2),100.0,446,AC,39.0
184,21807769,1618643835,jsc2021_b,jsc2021,bayashi_cl,Python (3.8.2),200.0,486,AC,38.0
185,21820592,1618646562,jsc2021_c,jsc2021,bayashi_cl,PyPy3 (7.3.0),300.0,834,AC,1124.0
186,21824379,1618648175,jsc2021_d,jsc2021,bayashi_cl,C++ (GCC 9.2.1),0.0,1400,RE,2271.0
187,21824717,1618648336,jsc2021_d,jsc2021,bayashi_cl,C++ (GCC 9.2.1),0.0,1316,RE,2285.0
188,21825373,1618648676,jsc2021_d,jsc2021,bayashi_cl,C++ (GCC 9.2.1),0.0,1564,RE,2275.0
189,21826818,1618649389,jsc2021_d,jsc2021,bayashi_cl,C++ (GCC 9.2.1),400.0,1418,AC,6.0
190,21831020,1618651915,jsc2021_d,jsc2021,bayashi_cl,Python (3.8.2),400.0,100,AC,27.0
191,22197004,1619870532,zone2021_a,zone2021,bayashi_cl,Python (3.8.2),100.0,398,AC,36.0
192,22204880,1619871314,zone2021_b,zone2021,bayashi_cl,Python (3.8.2),200.0,563,AC,36.0
193,22213535,1619872704,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,708,TLE,2206.0
194,22218686,1619873644,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,645,WA,2206.0
195,22230454,1619875872,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,919,RE,2206.0
196,22231512,1619876054,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,920,TLE,2206.0
197,22235252,1619876721,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,1517,WA,2206.0
198,22236254,1619877219,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,768,WA,2206.0
199,22236698,1619877483,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),0.0,801,TLE,2206.0
200,22236834,1619877566,zone2021_d,zone2021,bayashi_cl,PyPy3 (7.3.0),0.0,742,TLE,2211.0
201,22237856,1619878314,zone2021_d,zone2021,bayashi_cl,Python (3.8.2),300.0,843,AC,100.0
202,22338024,1620248199,typical90_a,typical90,bayashi_cl,Python (3.8.2),4.0,972,AC,1312.0
203,22338119,1620249878,typical90_b,typical90,bayashi_cl,Python (3.8.2),3.0,958,AC,43.0
204,22338204,1620251679,typical90_b,typical90,bayashi_cl,C++ (GCC 9.2.1),3.0,1728,AC,187.0
205,22338496,1620255184,typical90_c,typical90,bayashi_cl,C++ (GCC 9.2.1),0.0,1807,TLE,2233.0
206,22338562,1620255880,typical90_c,typical90,bayashi_cl,C++ (GCC 9.2.1),4.0,1690,AC,51.0
207,22345518,1620287646,typical90_d,typical90,bayashi_cl,Python (3.8.2),0.0,702,TLE,2215.0
208,22345901,1620288691,typical90_d,typical90,bayashi_cl,PyPy3 (7.3.0),2.0,710,AC,1621.0
209,22346248,1620289633,typical90_d,typical90,bayashi_cl,Python (3.8.2),0.0,567,TLE,2208.0
210,22353713,1620311059,typical90_f,typical90,bayashi_cl,Python (3.8.2),5.0,872,AC,481.0
211,22354355,1620312620,typical90_g,typical90,bayashi_cl,Python (3.8.2),0.0,718,RE,682.0
212,22354379,1620312693,typical90_g,typical90,bayashi_cl,Python (3.8.2),0.0,717,RE,665.0
213,22354594,1620313187,typical90_g,typical90,bayashi_cl,Python (3.8.2),0.0,707,RE,737.0
214,22354686,1620313393,typical90_g,typical90,bayashi_cl,Python (3.8.2),3.0,777,AC,663.0
215,22377215,1620423053,typical90_h,typical90,bayashi_cl,Python (3.8.2),4.0,1086,AC,198.0
216,22377558,1620428578,typical90_i,typical90,bayashi_cl,Python (3.8.2),0.0,1460,TLE,3309.0
217,22377627,1620429298,typical90_i,typical90,bayashi_cl,Python (3.8.2),0.0,1246,TLE,3309.0
218,22377847,1620431876,typical90_i,typical90,bayashi_cl,PyPy3 (7.3.0),6.0,1207,AC,1312.0
219,22387268,1620463838,typical90_j,typical90,bayashi_cl,Python (3.8.2),2.0,876,AC,229.0
220,22388013,1620465478,typical90_k,typical90,bayashi_cl,Python (3.8.2),2.0,721,TLE,2206.0
221,22391870,1620474719,typical90_k,typical90,bayashi_cl,Python (3.8.2),0.0,923,WA,2206.0
222,22399001,1620475420,abc200_a,abc200,bayashi_cl,Python (3.8.2),100.0,65,AC,29.0
223,22403673,1620475586,abc200_b,abc200,bayashi_cl,Python (3.8.2),200.0,520,AC,38.0
224,22410701,1620476071,abc200_c,abc200,bayashi_cl,Python (3.8.2),300.0,590,AC,100.0
225,22439547,1620482786,abc200_d,abc200,bayashi_cl,Python (3.8.2),400.0,1331,AC,42.0
226,22446956,1620492879,typical90_k,typical90,bayashi_cl,Python (3.8.2),2.0,960,WA,2206.0
227,22447003,1620493004,typical90_k,typical90,bayashi_cl,PyPy3 (7.3.0),4.0,975,WA,400.0
228,22448209,1620497229,typical90_k,typical90,bayashi_cl,PyPy3 (7.3.0),6.0,709,AC,524.0
229,22448551,1620499062,typical90_l,typical90,bayashi_cl,Python (3.8.2),4.0,2271,AC,365.0
230,22449361,1620505062,typical90_m,typical90,bayashi_cl,Python (3.8.2),5.0,1340,AC,774.0
231,22449413,1620505461,typical90_n,typical90,bayashi_cl,Python (3.8.2),3.0,562,AC,117.0
232,22461181,1620549875,typical90_o,typical90,bayashi_cl,Python (3.8.2),0.0,639,TLE,2207.0
233,22461733,1620551045,typical90_o,typical90,bayashi_cl,PyPy3 (7.3.0),0.0,1005,TLE,2212.0
234,22462242,1620552240,typical90_o,typical90,bayashi_cl,PyPy3 (7.3.0),0.0,777,TLE,2208.0
235,22462881,1620553950,typical90_o,typical90,bayashi_cl,PyPy3 (7.3.0),6.0,817,AC,256.0
236,22464499,1620558897,typical90_o,typical90,bayashi_cl,Python (3.8.2),6.0,1433,AC,1494.0
237,22465908,1620562618,typical90_p,typical90,bayashi_cl,PyPy3 (7.3.0),0.0,605,WA,2208.0
238,22465947,1620562696,typical90_p,typical90,bayashi_cl,PyPy3 (7.3.0),0.0,582,TLE,2208.0
239,22466318,1620563599,typical90_p,typical90,bayashi_cl,PyPy3 (7.3.0),3.0,617,AC,752.0
240,22527614,1620756953,typical90_q,typical90,bayashi_cl,Python (3.8.2),0.0,972,RE,2206.0
241,22527653,1620757351,typical90_q,typical90,bayashi_cl,PyPy3 (7.3.0),1.0,875,RE,587.0
242,22527821,1620759360,typical90_q,typical90,bayashi_cl,PyPy3 (7.3.0),1.0,830,RE,2208.0
